Title,Image,Nickname,Label,Keywords,Keywords1,Keywords2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,accessibilityratingcaption,View,View11,Text,Text1,Text2,Text3,Text4
"So comfy, really stylish, 10/10",https://r-ap.rtrcdn.com/reviewimages/a04/1557554-largeThumb.jpg,Cori,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,Rented for: Vacation,8,"5' 6""",31,Bust size: ,34C,Body type: ,ATHLETIC,142LBS,(5 out of 5 stars),"MAY 1, 2022",Love this dress and got lots of compliments. Would size down if btwn since the top is that stretchy material / pattern,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Seriously considering buying!,https://r-ap.rtrcdn.com/reviewimages/3e0/1680593-largeThumb.jpg,Rachael,,Size worn: MR,Overall fit: True to Size,Rented for: Wedding,12,"5' 4""",36,,,,,,(5 out of 5 stars),"APRIL 27, 2022","Dress was super comfortable with the perfect amount of stretch in all the right places. Never felt tight/pulled when seated, walking or dancing. The sleeves and smocked top were gorgeous. Perfect for a spring wedding!!",Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Very pretty dress! Received lots of compliments ,https://r-ap.rtrcdn.com/reviewimages/fe5/1680537-largeThumb.jpg,Laurel,TOP CONTRIBUTOR,Size worn: MR,Overall fit: Large,Rented for: Wedding,6,"5' 7""",33,Bust size: ,36C,Body type: ,HOURGLASS,150150LBS,(5 out of 5 stars),"APRIL 27, 2022",This dress is very pretty and flattering. I could've gone down a size. Enjoyed wearing off the shoulder and even with a sleeves. Will rent again,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
This dress is everything! ,https://r-ap.rtrcdn.com/reviewimages/f6e/1678386-largeThumb.jpg,Elaena,TOP CONTRIBUTOR,Size worn: SR,Overall fit: Large,Rented for: Everyday,6,"5' 6""",27,Bust size: ,34B,Body type: ,PEAR,140LBS,(5 out of 5 stars),"APRIL 24, 2022","Got so many compliments! Dress is super comfy, colors are vibrant, and the material was heavy without being hot. ",Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Fanstastic dress! Kate Middleton just wore it too! ,https://r-ap.rtrcdn.com/reviewimages/ffa/1675073-largeThumb.jpg,Amy,TOP CONTRIBUTOR,Size worn: LR,Overall fit: True to Size,Rented for: Other,12,"5' 6""",42,Bust size: ,36B,Body type: ,PEAR,181LBS,(5 out of 5 stars),"APRIL 17, 2022",This dress is fantastic. Would be flattering on multiple body types. Has pockets. Kate Middleton just wore it on her tour of Belize. Got so many compliments on it!! ,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Wonderful dress and very adaptable to different events.,https://r-ap.rtrcdn.com/reviewimages/57d/1670427-largeThumb.jpg,Gretchen,TOP CONTRIBUTOR,Size worn: LR,Overall fit: True to Size,Rented for: Everyday,12,"5' 10""",48,Bust size: ,34D,Body type: ,PEAR,165LBS,(5 out of 5 stars),"MARCH 31, 2022",Fit perfectly and very true to size.,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Cutest dress! Got so many compliments,https://r-ap.rtrcdn.com/reviewimages/9bb/1668305-largeThumb.jpg,Olivia,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: True to Size,Rented for: Party,2,"5' 4""",31,Bust size: ,32D,Body type: ,PEAR,120LBS,(5 out of 5 stars),"MARCH 28, 2022",,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
So cute!,https://r-ap.rtrcdn.com/reviewimages/f1c/1660157-largeThumb.jpg,Monica ,TOP CONTRIBUTOR,Size worn: SR,Overall fit: True to Size,Rented for: Everyday,4,"5' 5""",39,Bust size: ,36A,Body type: ,ATHLETIC,126LBS,(5 out of 5 stars),"MARCH 8, 2022","I loved this dress! The color is such a pop, and super flattering for my body type with its puffy sleeves, flared skirt, and form fitting torso. And comfortable! I wore it to work and date night. ",Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Nice heavy material,https://r-ap.rtrcdn.com/reviewimages/f80/1644008-largeThumb.jpg,Marina,TOP CONTRIBUTOR,Size worn: XSR,Overall fit: Large,"Usually wears: 0Height: 5' 5""Age: 39Bust size: 34BBody type: Straight & narrowWeight: 118lbs",0,"5' 5""",39,Bust size: ,34B,Body type: ,STRAIGHT & NARROW,118LBS,(4 out of 5 stars),"JANUARY 23, 2022",Runs large. Looks best off the shoulders.,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
Most flattering dress ever! A little heavy but adorable! ,https://r-ap.rtrcdn.com/reviewimages/bd3/1643956-largeThumb.jpg,Katie,TOP CONTRIBUTOR,Size worn: MR,Overall fit: True to Size,Rented for: Vacation,8,"5' 7""",29,Bust size: ,36C,Body type: ,HOURGLASS,150LBS,(5 out of 5 stars),"JANUARY 23, 2022",,Tory Burch,Painted Roses Smocked Dress,$478 original retail,$70,"Blue printed cotton (69% Cotton, 27% Nylon, 4% Spandex). Hourglass. Sleeveless. Square neckline. 45"" from shoulder to hemline. Imported."
